"route","ssnt","ssme","ssnti","ssmei"
"840_07_006",-716.736143519996,-523.074811107121,-2580.15695560545,-2590.70150867261
"840_07_007",-1064.99774833346,-623.276991818484,-3537.57292387078,-3540.42738983727
"840_07_008",-2081.88903727704,-832.349103868193,-7486.38241429719,-7501.25996936042
"840_07_010",-1765.93072739446,-787.706831869615,-6426.41072519439,-6445.58381167938
"840_07_015",-787.443707955784,-443.977446758639,-2240.90674010646,-2242.25839171912
"840_07_016",-745.20925115225,-666.313244827271,-8793.47711746154,-8842.96522451721
"840_07_019",-1545.91830834809,-805.524441560574,-5828.45292612016,-5835.40252768547
"840_07_020",-941.183275208989,-633.558378079724,-2764.36687242213,-2761.69216677754
"840_07_021",-994.854348777297,-667.626236749191,-2577.23730611791,-2578.74844581513
"840_07_022",-1358.33977299698,-711.892788026375,-4382.37845927193,-4377.34556612125
"840_07_023",-762.373512334617,-483.135433653741,-2220.80534740392,-2225.60415010324
"840_07_024",-1021.74521797855,-683.711663211437,-3857.57484546975,-3875.60068691822
"840_07_025",-765.68629261695,-693.149978245095,-5363.90615795883,-5407.83209642985
"840_07_026",-946.883254225782,-639.198316542879,-3213.35828851055,-3219.4789257579
"840_07_027",-942.083996449766,-661.05365089727,-2912.98661746558,-2907.67882769808
"840_07_028",-1068.81777600279,-674.126787262758,-2780.19868976671,-2775.57335691478
"840_07_029",-568.973816339792,-511.707564876778,-3340.91497007325,-3359.21056972411
"840_07_103",-569.161345690583,-465.946013241126,-1764.43209961613,-1773.42929184056
"840_07_109",-455.565850269655,-473.284161960697,-7726.90064810157,-7769.0768396332
"840_07_111",-1372.09154057384,-678.454555976522,-3784.26246519947,-3783.00088962798
"840_07_112",-1329.09196194335,-812.830232610034,-3468.98104621076,-3469.97497423155
"840_07_117",-603.778594035438,-533.400464075132,-2958.81449218385,-2975.73542320681
"840_07_118",-1056.45597621577,-733.261654953859,-7983.22280509259,-8008.76715505262
"840_14_001",-2101.66817488118,-740.916663476769,-6622.63800058009,-6623.59860720607
"840_14_005",-1644.12230772929,-869.924099266937,-4318.3349727209,-4316.18889288816
"840_14_006",-1196.7731068744,-662.037283597197,-3440.47817951324,-3444.3046162279
"840_14_011",-778.716446802975,-635.011510216728,-3130.98347580784,-3143.890255951
"840_14_012",-2511.58562050614,-732.640603659646,-9717.88900835271,-9739.01151552009
"840_14_014",-1980.37329404119,-831.036270528628,-5882.06778953179,-5894.36369188471
"840_14_016",-430.027462126839,-258.938110272807,-3375.25842800259,-3386.5828946394
"840_14_018",-643.823087798008,-441.735992212582,-1717.70421845417,-1718.33943122273
"840_14_021",-3561.21805255102,-758.097038481564,-12976.8897573809,-13013.4975851287
"840_14_022",-1382.70584009705,-749.603457502128,-4968.49720450683,-4972.37540309601
"840_14_023",-137.759341921841,-99.4934723188659,-451.712072738327,-451.825921760706
"840_14_032",-919.917696824158,-512.674648876826,-6172.64972929631,-6183.88634412124
"840_14_036",-290.753438269459,-205.764482062406,-722.513836144531,-721.612069961949
"840_14_037",-433.720347178332,-255.959011972766,-1148.09981904325,-1150.78415356888
"840_14_047",-1080.88284416109,-696.359882068556,-4197.98095004813,-4206.52205034397
"840_14_049",-890.446988536463,-550.304739255341,-8378.64128494309,-8407.71523460772
"840_14_051",-553.052167622448,-348.106859524291,-1592.86809039798,-1600.29683046574
"840_14_053",-984.456836682834,-616.190344646055,-4362.44536423241,-4360.40946230921
"840_14_054",-1374.08929424515,-656.553451931681,-7099.58896945654,-7113.38631004506
"840_14_059",-521.055238755654,-250.753402412544,-2259.92219033869,-2264.52140412734
"840_14_062",-223.014624721823,-156.231765729375,-605.882788573496,-608.507752713531
"840_14_069",-103.087507299548,-90.6942434026553,-212.495164798034,-213.333739015381
"840_14_071",-2355.84609654491,-972.732520976028,-7576.9637811402,-7580.37947365772
"840_14_074",-854.687286748261,-521.988603270706,-2387.95433921592,-2389.17749865471
"840_14_078",-592.592915287011,-456.23463885435,-1980.26179115404,-1976.28281327129
"840_14_080",-1898.51118063068,-640.165087564961,-10063.0372353424,-10088.5607833846
"840_14_081",-1211.02664679164,-649.899139027212,-3271.11645106828,-3265.4336414452
"840_14_082",-814.700230426402,-671.581142885489,-2993.27283029848,-3008.91478517853
"840_14_083",-1993.60161969383,-898.456413231645,-6983.06492610984,-6983.93023258553
"840_14_088",-127.657063164537,-113.716200019785,-380.20265504214,-378.561830803417
"840_14_089",-1876.46325312808,-670.773911203131,-10102.5103339391,-10135.5490104031
"840_14_096",-596.829480895362,-435.075125704718,-2258.4572562856,-2274.3326841194
"840_14_097",-1421.6653339963,-713.936524848427,-4447.2394989311,-4450.50728301552
"840_14_098",-2582.27415359649,-923.421675699563,-6848.47340334858,-6844.88102008964
"840_14_104",-496.700314721917,-341.688065811604,-1440.04274626591,-1439.7767042829
"840_14_106",-1118.83468591882,-653.934730958289,-4523.60645016459,-4532.53906363227
"840_14_108",-1672.78857215299,-751.561814061266,-5214.53088365597,-5210.18400377068
"840_14_112",-659.906187726934,-436.309616651631,-2071.4406548788,-2074.31787736603
"840_14_116",-440.864941620681,-304.439615844243,-1087.21135517866,-1085.54348806492
"840_14_117",-887.835561958629,-692.162295860445,-2985.19192795142,-2989.97381847131
"840_14_118",-1500.44163193384,-732.193301980202,-5370.83296206514,-5378.88414402698
"840_14_128",-1100.06588619786,-709.94436936918,-4098.06535409688,-4100.15248811074
"840_14_132",-583.825786362359,-520.741883818097,-1971.82707472696,-1979.49534050566
"840_14_137",-667.468656968886,-391.613163540623,-2289.04797904515,-2293.75814021861
"840_14_138",-619.122670831848,-411.00129359849,-3164.86400404863,-3174.38996421674
"840_14_140",-924.732258265971,-312.019776142248,-5155.55585509096,-5174.42220345317
"840_14_142",-655.233966059563,-482.238499795579,-2161.84648012294,-2163.53336109094
"840_14_148",-1959.37026462384,-709.618988886607,-10990.8974374857,-11026.1811373772
"840_14_150",-1506.28292041192,-572.298958342987,-16606.9280647879,-16637.5099901227
"840_14_151",-2133.05217209306,-897.110851070954,-8093.5087398904,-8117.85489118336
"840_14_153",-2520.45264948891,-956.863233335921,-7049.37682960929,-7063.34328721928
"840_14_155",-1665.76240496847,-749.829034311604,-9306.09850157366,-9333.52399210491
"840_14_156",-1075.09974606872,-629.345372756842,-3053.38381544951,-3052.5703800245
"840_14_158",-2065.08217598166,-795.113672418467,-5794.50226958078,-5811.12007220173
"840_14_159",-1539.22418416639,-681.61163266603,-7764.9263092957,-7777.66338572618
"840_14_160",-1376.47254994274,-758.308612168272,-4112.14874376835,-4117.61779057814
"840_14_164",-801.246486295725,-567.428287701416,-2262.35290127959,-2258.12785104925
"840_14_165",-1432.17000605205,-766.456530099502,-4550.61468097347,-4554.6708966197
"840_14_166",-9599.15576561997,-1547.19188921401,-42349.7039414397,-42400.2772887567
"840_14_167",-646.305000772323,-483.898718548936,-2142.4604513997,-2151.96631560702
"840_14_168",-3291.847823579,-1284.70153104373,-12315.1587890934,-12332.5230229299
"840_14_169",-1044.08365529816,-582.03560150862,-3108.28606921633,-3111.34619467412
"840_14_172",-1935.60850849946,-817.928146566642,-5335.29187164936,-5350.22280839281
"840_14_174",-721.077483730653,-457.323283119735,-2844.50987855963,-2854.08066420066
"840_14_175",-711.759588451842,-536.326791434383,-2091.88637847891,-2093.46151454886
"840_14_178",-1674.40683775334,-834.057011321692,-4564.15740184019,-4564.9573244792
"840_14_179",-1250.75481378501,-674.660293701258,-5671.63142968361,-5678.85120781226
"840_14_181",-1518.73829981491,-786.984849821444,-4346.82172379108,-4362.78256857048
"840_14_182",-1204.33851603776,-673.389206998192,-2689.04085680921,-2687.45202667949
"840_14_185",-600.516195885143,-480.790450859049,-2338.92717250332,-2336.89266087992
"840_14_186",-1307.43460517839,-736.907522346771,-4447.98761473269,-4451.2713776352
"840_14_187",-1158.77582036752,-497.391621673194,-6828.62673221019,-6856.32854104521
"840_14_188",-961.99636069542,-563.762660204972,-3221.05215951542,-3218.97402811867
"840_14_189",-2881.37946181868,-1210.79790850562,-13149.9225176678,-13179.0413189412
"840_14_190",-2358.24754672453,-997.438231146025,-7227.52996976384,-7243.43035957832
"840_14_191",-1792.79795582394,-700.234990446267,-6916.41601133579,-6934.02208722017
"840_14_192",-498.040705113402,-465.253857309664,-1591.02679955797,-1595.73222009373
"840_14_193",-2489.8238775862,-1066.59095555547,-8313.71665453818,-8323.681288053
"840_14_194",-1899.9249119978,-693.598419408669,-5009.15846806655,-5004.95435646552
"840_14_195",-985.996084536988,-678.494191905753,-4823.54317242987,-4851.40529559201
"840_14_198",-1386.1862307255,-813.22350456977,-5966.32175405853,-5984.97058010635
"840_14_199",-606.062061395878,-536.652511010709,-2551.28967193161,-2557.77404158693
"840_14_205",-1304.00194003835,-694.771779821251,-3962.16763771419,-3970.91593719181
"840_14_210",-774.611608848526,-513.038855542014,-2219.77955907772,-2226.25054045113
"840_14_220",-1288.03312936399,-681.913079017834,-4320.29264457989,-4320.14234489197
"840_14_221",-857.884762758332,-545.497363973259,-2617.87997724413,-2619.89159856345
"840_14_225",-2825.54513320694,-932.916880567662,-10872.2549764906,-10883.2957541191
"840_14_226",-1032.52652406062,-630.746546082641,-3444.91256239464,-3450.40014501183
"840_14_302",-1428.57208169919,-718.517148214278,-3453.62730164435,-3453.98097673442
"840_14_303",-894.416245592855,-496.382472304946,-3651.10034594545,-3656.70773455291
"840_14_308",-711.996845698152,-388.455533420101,-1805.30033400498,-1805.89657825269
"840_14_319",-1865.3381450811,-829.340301605253,-6627.7790990429,-6623.12825317193
"840_14_320",-996.942936548086,-392.459775465683,-4937.9462390327,-4944.08260823863
"840_14_341",-1428.31825114396,-737.587853071354,-4980.30851998306,-4986.1094228375
"840_14_352",-2489.0793395545,-854.465811216374,-9197.06848723594,-9224.7917769245
"840_14_357",-689.863778460243,-362.912058535708,-2371.64860386399,-2366.35059371589
"840_14_405",-1083.3461236961,-567.138755208951,-2634.06861535834,-2633.03736559709
"840_14_406",-734.355323756105,-577.986435488889,-2413.53744734561,-2419.54694493125
"840_14_407",-1076.12394577322,-535.025951630575,-2341.33123687844,-2344.37561308416
"840_14_409",-637.938181144781,-414.622732577145,-1969.27480566438,-1966.82787003035
"840_14_411",-884.413207974401,-602.306538886885,-2530.87247741393,-2525.89959246533
"840_14_414",-1745.0906396545,-707.762261327287,-4253.41100281041,-4257.70154354333
"840_14_415",-2024.8001544218,-834.608812930325,-6075.33778555047,-6101.05352622243
"840_14_417",-1217.97951758019,-668.661763073698,-3422.13270023075,-3413.28605697221
"840_14_418",-675.357763529724,-492.744101693301,-2594.39862008229,-2597.14058250983
"840_14_419",-724.358117230879,-452.05975288184,-2360.47003484694,-2360.60252875129
"840_14_420",-758.536484682579,-456.880303669715,-2102.71017352978,-2106.64420870578
"840_14_421",-699.942755063865,-540.160185593291,-2864.48932159276,-2871.87695197881
"840_14_422",-1171.63347706005,-696.811913022737,-2861.91665965261,-2864.63244224453
"840_14_423",-673.233045372927,-527.086254489237,-2467.36074333006,-2465.70112041027
"840_14_427",-884.136609821133,-536.188736476296,-2725.27092652785,-2728.76275322901
"840_14_430",-636.211438129804,-466.103774327337,-2289.08636290049,-2294.96101724354
"840_14_431",-707.441892258366,-469.945965555878,-2160.61314629387,-2160.46884058689
"840_14_433",-660.881675754419,-385.500853233682,-1711.04293402818,-1710.82012546222
"840_14_434",-743.990567117348,-454.502921146332,-2099.5525296745,-2100.00488434792
"840_14_435",-836.074429697912,-544.885400534617,-2608.08896202914,-2609.97366568287
"840_14_436",-975.299167351583,-656.981593915512,-2873.97016130064,-2876.79135715038
"840_17_003",-1752.69624848298,-948.240729149275,-7869.09107823553,-7894.80491252026
"840_17_004",-576.056331206314,-463.406838104655,-2153.60970408607,-2154.78770536817
"840_17_006",-526.659191538842,-375.159083798702,-3111.13627260176,-3124.92844550704
"840_17_008",-630.90137348774,-502.644787823059,-1577.15233684799,-1577.0250577989
"840_17_009",-1152.60496592413,-730.52408513198,-4246.55696507539,-4258.36260387178
"840_17_010",-830.747402571526,-490.456029689774,-2664.33581163474,-2680.85073878276
"840_17_011",-841.09241856179,-567.566687344241,-2600.46812686151,-2599.91187077645
"840_17_012",-947.292093395735,-497.505241912838,-4680.37752764143,-4694.2861445084
"840_17_013",-768.684811091158,-348.844551812939,-3125.42620275538,-3139.38747303913
"840_17_014",-939.052833940195,-469.942101286284,-5151.35606083878,-5165.1707991008
"840_17_015",-685.887673716337,-470.473846673292,-1698.7849972065,-1700.19598503374
"840_17_017",-1057.69683554884,-705.389739589998,-2564.41358294391,-2573.11140682815
"840_17_018",-1007.36280936508,-500.547741275283,-3972.59652817023,-3980.4991205809
"840_17_019",-622.579094380179,-391.44362553685,-4030.1944708227,-4036.35552589781
"840_17_020",-743.617285712071,-410.826075231812,-5298.09511980437,-5327.1024717433
"840_17_021",-527.635303626567,-351.475451616541,-2693.69046176076,-2713.57240041242
"840_17_023",-817.67251621919,-641.444975249437,-3927.52501921825,-3942.73937881292
"840_17_028",-697.460515938253,-365.961271694787,-5030.4137054822,-5049.92897529563
"840_17_031",-934.184422404248,-520.8132135154,-2542.13871406551,-2546.86640789958
"840_17_032",-838.728016758135,-629.095383398224,-3284.47997139786,-3291.78892054987
"840_17_035",-3591.84169501692,-706.20901565855,-18806.7822126589,-18844.0409478263
"840_17_036",-498.241150084154,-348.09227692563,-4012.98928801732,-4033.16991902006
"840_17_037",-779.027937927069,-377.75401142901,-3347.36629813991,-3352.25842743539
"840_17_039",-681.768924229909,-495.535319545128,-2222.07838352484,-2231.57999804748
"840_17_040",-565.019599355745,-420.553877170069,-2012.65609389732,-2017.15145669827
"840_17_041",-2418.98041220805,-881.933294596954,-5897.35351832115,-5899.17739378414
"840_17_042",-751.668422298888,-434.786744480417,-7603.89548219931,-7624.30210737437
"840_17_043",-687.295969246181,-259.937447639553,-4980.77513527791,-4994.02380461293
"840_17_044",-656.624246624582,-384.727394741013,-3752.43992622181,-3760.36689297805
"840_17_045",-595.008239651936,-472.71321050962,-2042.41178161756,-2047.271862889
"840_17_046",-1008.85676864974,-668.959861779243,-3949.20560169682,-3963.07280292847
"840_17_047",-964.277345933674,-590.431462086652,-4062.77890577885,-4080.02807227786
"840_17_048",-1312.03331415024,-715.052088512108,-5491.88350260536,-5503.43520390767
"840_17_049",-469.274139893304,-329.37488213684,-2681.50975308709,-2695.19224924587
"840_17_050",-802.966228042334,-437.778311773045,-4405.00732834425,-4421.97202408245
"840_17_051",-624.117778481309,-378.383093016898,-4282.78261435473,-4301.21386990611
"840_17_052",-995.585280359893,-565.832117305005,-3607.32844974777,-3614.04270829585
"840_17_055",-1352.51705891348,-700.631035369392,-7089.29632462835,-7101.74118868941
"840_17_056",-495.112105454143,-310.563722604879,-1692.25969714459,-1697.98442905712
"840_17_058",-389.714774457589,-263.599575551033,-1881.68223731392,-1888.40356135683
"840_17_125",-472.44490646135,-329.107913577344,-1575.87745438978,-1585.4590243296
"840_17_138",-629.269491812073,-471.656518760709,-2004.85164820711,-2011.46984724507
"840_17_153",-1329.68662415842,-640.167846277597,-4812.57792536435,-4818.67703493923
"840_17_154",-470.926076791545,-382.938401114795,-1342.50641786028,-1348.88076263387
"840_17_202",-611.268241987029,-410.870335995818,-1407.03751070741,-1411.79204219242
"840_17_203",-1017.61204201666,-574.284745471807,-2856.25984140304,-2884.84478377356
"840_17_205",-795.175300079935,-464.408018349472,-4281.89273586435,-4305.40316118488
"840_17_207",-1267.17601589402,-450.349308624262,-7455.90012152817,-7472.64256823003
"840_17_208",-743.446495177879,-485.508729912213,-2507.40982726386,-2508.28814557545
"840_17_209",-778.710647574109,-463.871025053777,-2255.91210851925,-2263.85700317152
"840_17_211",-663.529114535471,-420.741316815604,-2152.34162351266,-2162.5176509852
"840_17_213",-560.286753144327,-337.626512036994,-3752.47471854025,-3771.30125824642
"840_17_214",-703.73097624696,-355.7557090564,-3395.13606351125,-3400.97927196821
"840_17_216",-750.427159989277,-532.639010521232,-3558.72038990954,-3576.44814616632
"840_17_217",-1734.47252763156,-624.806360521053,-5625.66484960363,-5642.67708394387
"840_17_218",-480.511562527356,-372.867607895252,-1329.46274696803,-1328.25522886392
"840_17_220",-1990.31256620465,-378.508291371601,-12040.5040380344,-12063.728222174
"840_17_221",-825.935288592363,-453.001593574854,-2742.21211383188,-2753.55811701507
"840_17_222",-977.090164700396,-652.874368327224,-2116.48916713368,-2121.3967505632
"840_17_223",-1259.63120323667,-767.62756222804,-3891.19320718045,-3913.47426595033
"840_17_225",-440.46774865957,-280.467502161906,-1807.229351378,-1808.54810909512
"840_17_228",-800.263529485415,-355.505125530922,-4548.37429234864,-4556.13652559361
"840_17_301",-1140.33542859593,-642.335704000741,-3547.01742084725,-3556.12121079423
"840_17_302",-927.662924955467,-578.850777139774,-4342.72033697941,-4352.15735902612
"840_17_303",-1148.9281513246,-635.784048779532,-3745.72617710579,-3755.66277569528
"840_17_304",-532.718867253915,-406.197913575025,-1304.30320620532,-1314.94709689991
"840_17_305",-1374.39373007475,-521.485851205893,-7545.79793939591,-7565.00124519567
"840_17_306",-1131.20918013497,-671.458868902765,-6321.32031640499,-6339.1503938256
"840_17_307",-1904.76732345537,-631.588522404639,-6426.18765372459,-6443.78712615078
"840_17_308",-483.046453470377,-379.138386158256,-1378.93094214597,-1380.93090889995
"840_17_309",-1105.84965104001,-527.200446134877,-3011.5852238794,-3019.47336484207
"840_17_312",-566.815706894893,-457.05056330688,-5282.23964217338,-5302.02428629415
"840_17_313",-1038.53416025002,-512.433918736638,-6201.08174022758,-6212.68717143142
"840_17_315",-927.519990723171,-593.429600459063,-3893.03895834544,-3920.0478666209
"840_17_318",-919.24714146324,-679.481846767434,-3524.73376425724,-3523.8741377995
"840_17_319",-410.783426790571,-350.901113297155,-3026.07172028735,-3038.63291132351
"840_17_320",-526.593935600937,-359.463520515259,-5285.68484627759,-5307.76338923598
"840_17_321",-554.431293371166,-350.38503974014,-4732.24993331337,-4745.74812278462
"840_17_322",-1171.48249867477,-594.790637096308,-4220.0065328719,-4218.61906812149
"840_17_327",-634.921514342134,-393.662331133349,-3865.88848442102,-3886.38465395989
"840_17_351",-919.633385413052,-628.418156305921,-2602.73612996986,-2608.20148043785
"840_17_352",-1062.1261606071,-599.40733830468,-3398.89198498832,-3402.1224584268
"840_17_353",-2037.97543614044,-675.773416792567,-4880.31508790083,-4892.16629401833
"840_17_354",-913.896396422655,-555.104158524056,-2621.13381195054,-2626.28212597861
"840_17_359",-1753.08606150017,-900.686301472906,-4339.52776231291,-4338.51875306401
"840_17_361",-549.464108584021,-390.795115942382,-2041.00340086044,-2043.54440865203
"840_17_362",-776.486413846133,-547.928231195314,-2545.14201910254,-2544.30895532974
"840_17_365",-912.812262882274,-646.847000230065,-2549.57194731688,-2549.36773640801
"840_17_366",-664.588055015104,-500.213398745314,-2986.42675459295,-2988.26820785648
"840_17_367",-722.55654079019,-494.79067559159,-2206.65571049863,-2205.68944999525
"840_17_368",-977.893792270751,-648.729506245145,-4481.955139057,-4474.63638836491
"840_17_372",-937.461279053909,-516.103519495924,-2794.53260321213,-2802.57141641364
"840_17_373",-622.406785418716,-418.590217988141,-2232.4939136143,-2233.69286420339
"840_17_375",-654.689226472607,-502.079203601098,-2287.6955370192,-2293.71393167773
"840_17_376",-1283.29768885704,-793.688684254993,-4506.6053691935,-4507.45028302148
"840_17_410",-722.672622923913,-463.251875880973,-2147.50612210338,-2149.17493857617
"840_17_412",-502.51888834293,-308.349355812072,-5457.9822455214,-5465.11198012206
"840_17_419",-733.096466816221,-549.609059299492,-7317.72407605782,-7352.95385793272
"840_17_422",-1352.76555875029,-818.970912111727,-3678.55815034142,-3691.30275509577
"840_17_423",-887.434764321325,-542.67721872823,-2682.40162708025,-2680.65178243605
"840_17_425",-449.772589013543,-275.177686814836,-1672.50265942452,-1677.78273231717
"840_18_001",-907.294398293472,-631.701369861618,-3127.74420718174,-3124.54406083143
"840_18_003",-1124.22091037891,-629.923709856833,-3635.21838467368,-3635.42302166388
"840_18_004",-1347.81221803467,-710.983643657616,-4367.35927960879,-4360.58284999914
"840_18_008",-2094.72788463422,-845.078548255734,-8900.77987088761,-8920.16780763706
"840_18_009",-1325.44763328573,-654.011640059985,-3822.32025204705,-3820.12703854033
"840_18_010",-998.425745007901,-581.51530627238,-3147.64129332799,-3159.48845103731
"840_18_011",-1494.95354552512,-675.802468285153,-4592.08522566826,-4599.21756815084
"840_18_012",-1967.13043200424,-930.467756394371,-9033.11426427969,-9039.23782837191
"840_18_014",-1569.7866792497,-824.809527587777,-4676.58837456934,-4678.23069075512
"840_18_015",-821.61863067584,-529.259313095775,-3896.63739418986,-3903.1209599119
"840_18_102",-839.674867326149,-581.283133830219,-2774.45214435164,-2779.41325844629
"840_21_001",-868.720613489566,-614.538480216792,-4329.21287177891,-4346.1763722839
"840_21_002",-2027.04648812273,-804.170093603398,-7104.24072983888,-7127.93088943113
"840_21_003",-3339.98419455362,-1294.25571304043,-12406.703813188,-12431.9092957182
"840_21_004",-1212.0491330915,-680.225402225056,-4751.9432700127,-4760.15560107701
"840_21_010",-1353.95674271515,-729.966334661749,-5837.3365477599,-5852.11913115554
"840_21_105",-2847.68265923197,-1111.76514842688,-10825.633625824,-10831.4695197366
"840_21_107",-2096.00820692716,-865.814341119998,-8097.28649995034,-8103.97903451193
"840_21_109",-1080.39803220822,-692.560553244309,-3518.8983149798,-3523.06522434393
"840_25_001",-1457.03446684551,-865.923977034636,-9273.38809419582,-9290.45945572114
"840_25_002",-1052.64015258705,-585.691005789182,-5358.8899863852,-5378.58049018402
"840_25_003",-658.709991808735,-474.552011107502,-2216.7866294701,-2225.40879279213
"840_25_004",-1423.43394181242,-798.662545673857,-6815.95445267149,-6833.01809889673
"840_25_005",-1346.30419734269,-781.205792357464,-5238.32852644676,-5250.32466259878
"840_25_006",-788.402567001677,-505.914824047448,-3944.55626963827,-3956.0121127478
"840_25_009",-1679.90073853,-739.771619451003,-7330.8309951613,-7343.11035464738
"840_25_010",-837.348183531393,-565.46282583539,-2631.8933975257,-2641.1528324559
"840_25_011",-1234.87694985766,-531.372782737341,-3650.71385463064,-3650.59272490852
"840_25_012",-1116.30414879856,-711.53414328733,-3861.28188584093,-3868.2973041576
"840_25_014",-1066.60064237045,-660.040710809601,-3915.91121061398,-3914.8365485781
"840_25_015",-661.648340564266,-482.952727049754,-2519.80480940838,-2531.03069565631
"840_25_017",-1284.11088253769,-665.008453287094,-5011.88913039731,-5008.42136038481
"840_25_018",-768.946738370329,-511.61237410319,-2405.22110671728,-2414.06106714913
"840_25_019",-571.596444170074,-478.939309619538,-1869.71483431503,-1881.0144717712
"840_25_020",-1076.10224074336,-685.364301932976,-3804.84792756482,-3814.17160555484
"840_25_021",-834.022848823909,-499.82404679521,-2805.17444960517,-2807.29310496474
"840_25_022",-1121.01444688919,-716.403168923108,-8313.76481240141,-8352.1058208602
"840_25_024",-641.451037744199,-430.936392844776,-2666.64440364038,-2672.86605418428
"840_25_025",-869.003655148044,-640.905635041356,-2935.81017140063,-2941.62666636362
"840_25_026",-1074.54770261876,-576.904753759638,-4013.28214224304,-4018.75037621215
"840_25_027",-1098.2999466421,-639.560138350928,-4452.86622835528,-4455.9029616831
"840_25_028",-964.176719847027,-468.900262961528,-3000.01502643538,-3001.37526150737
"840_25_030",-1083.19578370596,-574.054397786386,-3166.98187067495,-3168.68476139779
"840_25_031",-1102.4418528215,-607.80639538377,-5531.85658381177,-5549.56689751257
"840_25_037",-744.089759999544,-511.001403166778,-2613.13246586393,-2615.39980305649
"840_25_052",-1355.54188109027,-721.825153880383,-6507.04235679919,-6519.26823741167
"840_25_053",-861.594016127529,-515.361522990686,-3883.33056896181,-3895.3446007366
"840_25_054",-1402.07034334938,-696.043559593326,-4964.48882156679,-4961.20056602894
"840_25_055",-1339.40724164836,-792.313843508594,-7536.58068708432,-7555.67743165705
"840_25_056",-1279.45404298473,-643.235692095289,-4583.68658660522,-4585.52387447853
"840_25_057",-578.336534854858,-405.356635313181,-1903.49096532892,-1909.87436705234
"840_25_058",-2164.0069499854,-772.901519614286,-8736.91258459423,-8746.28406991913
"840_25_059",-647.951167883161,-465.497044820538,-2617.25496566859,-2624.65669862583
"840_25_061",-1496.62281071932,-764.35061962673,-5850.79258179733,-5862.37686104364
"840_25_062",-787.247959155218,-564.759328779045,-3256.73729765637,-3270.64730435537
"840_25_063",-631.050883938721,-428.302129099391,-1567.74657613495,-1577.15575772064
"840_25_064",-1232.27190115446,-579.723615144385,-3582.29522517798,-3587.75923308962
"840_25_066",-1090.40728103295,-580.127133076243,-2958.09941796069,-2959.41572438887
"840_25_067",-1319.37978182127,-743.118612693268,-8000.38196553405,-8031.32321334553
"840_25_068",-1179.42461706714,-635.832905870813,-4695.21778469816,-4707.04735878218
"840_25_069",-1087.71612827615,-695.025673509078,-4176.80972894684,-4191.10897827428
"840_25_070",-828.395177916848,-574.351458620561,-3209.12254358665,-3219.6943841981
"840_25_073",-808.953606521956,-528.69484629474,-2772.931696224,-2773.75369016721
"840_25_074",-1209.52257528148,-562.709716086081,-6514.7731346664,-6515.01896892025
"840_25_079",-585.567529911056,-397.830521612497,-2189.1895066859,-2193.20895805159
"840_25_081",-1053.38542544437,-659.953332579309,-6157.25458705808,-6171.29803817639
"840_25_082",-1226.39703810365,-671.918061632864,-5500.85358188947,-5514.2354564009
"840_25_084",-965.130929829264,-581.546804023845,-2820.27250416208,-2828.56563001132
"840_25_085",-817.525239452935,-556.854559198943,-2778.93662010895,-2785.9923543898
"840_25_086",-576.067403436455,-434.334039790922,-2101.49847336586,-2106.00090446945
"840_25_087",-623.755473264909,-398.952467303625,-1849.07628317861,-1851.59971099651
"840_25_107",-1511.54136649732,-813.575426886301,-6106.02169975409,-6107.61144262719
"840_25_108",-883.623003648094,-586.566550028386,-2917.19283101015,-2916.65086373106
"840_25_113",-1188.92823068537,-634.908179738607,-3176.15037793217,-3181.29844175537
"840_25_116",-891.251662707037,-609.317535373323,-3949.46052776364,-3950.66924246762
"840_25_129",-1202.88301995086,-673.62620544802,-4229.17741740202,-4232.47952147014
"840_25_132",-827.667540054193,-554.276484051301,-2849.82184226909,-2856.21035315963
"840_25_135",-686.172560901598,-387.710969215096,-2558.93591803248,-2566.3040132963
"840_25_138",-845.360295729727,-422.240169383283,-2439.55829625757,-2433.30499375888
"840_25_165",-1167.66760238988,-669.030923520744,-5808.11910205208,-5822.73150589543
"840_25_172",-692.241102296283,-365.670316451682,-2397.13701490184,-2396.82792556228
"840_25_175",-586.063768217812,-367.027686193478,-2270.96874454629,-2270.74290559366
"840_25_178",-800.049720969078,-417.216036176753,-5051.44753618036,-5047.17441484908
"840_25_180",-495.154822119742,-306.652770175612,-1791.87459775272,-1795.56925968766
"840_27_001",-1048.39439730712,-577.413650571401,-3160.17217494394,-3168.28695885616
"840_27_004",-1252.9011725569,-719.756450142448,-4451.26310436205,-4461.33314203614
"840_27_005",-851.013759344888,-567.934346401957,-2443.84569688289,-2441.68776689461
"840_27_006",-1501.20594492426,-776.426581768804,-5856.62623093887,-5863.40816017874
"840_27_007",-958.9068014237,-588.965183112648,-3250.61454760437,-3251.42858420222
"840_27_009",-1275.49086010677,-738.362130752912,-4600.11164405881,-4608.45790509737
"840_27_010",-1582.9006271833,-837.647458281317,-5663.89996245717,-5661.3925397664
"840_27_014",-596.036870910542,-448.513890724028,-2137.78595363979,-2140.53514712744
"840_27_015",-665.235195021925,-564.044376106853,-1814.41303833816,-1825.33791988468
"840_27_016",-1046.00378383766,-665.511229682306,-3139.92650683865,-3144.37781951674
"840_27_018",-1051.86492532611,-669.18313948002,-3850.70641469212,-3857.80910841517
"840_27_019",-1318.17568837377,-742.68885190765,-4563.28907412543,-4562.03121626056
