"route","ssnt","ssme","ssnti","ssmei"
"124_65_033",-1296.02649406737,-578.557212989419,-5782.76423412078,-5798.67610574274
"124_65_036",-951.200167602168,-619.594515026862,-2754.73286254515,-2763.02205418241
"124_65_037",-1032.89972642988,-608.953752640918,-3120.77900172258,-3119.81205693437
"124_65_117",-1273.81651438596,-648.436693405855,-4697.0887079588,-4704.53345378332
"124_68_002",-2988.83643459825,-1006.44989377821,-11432.2619194722,-11473.5223001527
"124_68_004",-811.133674278429,-636.920306768862,-5392.21239520356,-5411.71063220952
"124_68_005",-1173.16927294016,-613.169364061209,-4280.06895206734,-4293.03168987262
"124_68_006",-1957.51010895321,-869.757351394492,-7519.03183879798,-7542.8806892337
"124_68_007",-908.82824907944,-582.224254877425,-3410.82667312172,-3418.00323496761
"124_68_008",-904.682685292845,-549.220271286429,-5400.31634482839,-5419.53709457546
"124_68_009",-1400.78123238383,-593.505613816871,-4703.48786191441,-4716.36679019511
"124_68_010",-2417.32746747852,-916.408544106437,-7798.94556811955,-7806.56982963953
"124_68_011",-1392.15769438945,-808.358802078635,-4616.20112294604,-4622.40009269529
"124_68_012",-1085.60030770694,-657.581777232341,-3507.97849889992,-3523.52553996213
"124_68_014",-1528.58824680357,-901.367620769651,-5898.25422549402,-5920.01401158603
"124_68_015",-2772.85572076063,-1275.3136882001,-8566.15778496222,-8581.29454715075
"124_68_016",-966.87199750709,-684.029449434856,-3622.77007442728,-3636.50263120519
"124_68_018",-1685.8705769384,-884.733450509451,-5209.07329222952,-5214.84642997248
"124_68_020",-1732.96952913693,-844.985615649388,-5904.24142964011,-5920.36779636285
"124_68_022",-1596.83299738361,-677.906708523443,-6425.52570407637,-6445.86085257939
"124_68_023",-830.537237145173,-704.10937410091,-4349.26247017639,-4376.29874713951
"124_68_024",-1935.11131233232,-738.329796994222,-6284.53951097101,-6304.44921381778
"124_68_025",-1198.45221764765,-696.634782931084,-4901.96581259721,-4908.92052137606
"124_68_026",-1336.21282329453,-732.245001586029,-3802.672030104,-3806.55542504882
"124_68_028",-1064.61331648554,-653.798539341117,-3085.16876854809,-3093.81582262473
"124_68_029",-1326.09464676505,-628.987268218113,-5594.81759436403,-5597.63201406368
"124_68_036",-1755.04611151863,-785.171387308066,-4543.00682661256,-4557.81656037528
"124_68_037",-1776.31300029181,-1001.67842701845,-8855.79154661119,-8887.22164023586
"124_68_039",-1043.05226922781,-622.288238508288,-2604.42796221516,-2606.70486710885
"124_68_045",-1952.76834733642,-850.494606791073,-5086.65648061718,-5094.91756567147
"124_68_046",-906.710108809167,-489.793212781601,-1973.78256228751,-1977.54201975466
"124_68_047",-1013.99954523625,-563.543352764974,-3499.14503027176,-3509.96297750133
